dataset,agent,backbone,scorable_receipt_rows,gold_available,round2_attempted,round2_R@1v,headline_attempted,headline_R@1v,sources_agree,status,note
mimic_diverse,agentclinic,deepseek_deepseek-v4-flash,0,NO,951,0.254,951,0.2408,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,agentclinic,deepseek_deepseek-v4-pro,0,NO,956,0.194,145,0.1586,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,agentclinic,google_gemini-3-flash-preview-20251217,0,NO,956,0.178,956,0.1778,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,agentclinic,openai_gpt-5,0,NO,956,0.222,100,0.22,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,deeprare,deepseek_deepseek-v4-flash,0,NO,443,0.000,224,0.0,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,deeprare,deepseek_deepseek-v4-pro,0,NO,93,0.000,,,n/a,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,deeprare,google_gemini-3-flash-preview-20251217,0,NO,500,0.000,500,0.0,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,deeprare,openai_gpt-5,0,NO,100,0.000,100,0.0,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,llm_control,deepseek_deepseek-v4-flash,0,NO,956,0.274,956,0.2385,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,llm_control,deepseek_deepseek-v4-pro,0,NO,956,0.248,402,0.2637,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,llm_control,google_gemini-3-flash-preview-20251217,0,NO,956,0.321,956,0.3211,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,llm_control,openai_gpt-5,0,NO,956,0.340,100,0.22,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,maidxo,deepseek_deepseek-v4-pro,0,NO,90,0.000,,,n/a,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,maidxo,google_gemini-3-flash-preview-20251217,0,NO,100,0.107,100,0.08,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,mdagents,deepseek_deepseek-v4-flash,0,NO,956,0.245,956,0.2416,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,mdagents,deepseek_deepseek-v4-pro,0,NO,956,0.224,225,0.2089,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,mdagents,google_gemini-3-flash-preview-20251217,0,NO,956,0.383,956,0.3828,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,mdagents,openai_gpt-5,0,NO,956,0.308,100,0.22,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,medagents,deepseek_deepseek-v4-flash,0,NO,956,0.193,956,0.1579,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,medagents,deepseek_deepseek-v4-pro,0,NO,956,0.184,220,0.1409,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,medagents,google_gemini-3-flash-preview-20251217,0,NO,956,0.346,956,0.3462,approx,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
mimic_diverse,medagents,openai_gpt-5,0,NO,956,0.324,100,0.26,NO,UNVERIFIABLE_LEGACY_AGGREGATE,"no prediction receipt, no gold; value transcribed from legacy aggregate only"
