dataset,agent,backbone,n_ok,n_err,R@1_strict,R@1_variants,R@5_strict,R@5_variants,cost_usd,mean_lat_ms
mimic_diverse,agentclinic,deepseek_deepseek-v4-flash,903,48,0.225,0.254,0.371,0.406,0.1953,96422
mimic_diverse,agentclinic,deepseek_deepseek-v4-pro,956,0,0.176,0.194,0.337,0.369,0.6979,33411
mimic_diverse,agentclinic,google_gemini-3-flash-preview-20251217,956,0,0.166,0.178,0.376,0.394,2.3634,37569
mimic_diverse,agentclinic,openai_gpt-5,956,0,0.195,0.222,0.437,0.485,7.8064,157167
mimic_diverse,deeprare,deepseek_deepseek-v4-flash,432,11,0.000,0.000,0.000,0.000,0.3064,571261
mimic_diverse,deeprare,deepseek_deepseek-v4-pro,57,36,0.000,0.000,0.000,0.000,0.1567,1170534
mimic_diverse,deeprare,google_gemini-3-flash-preview-20251217,495,5,0.000,0.000,0.004,0.004,5.9042,129948
mimic_diverse,deeprare,openai_gpt-5,54,46,0.000,0.000,0.000,0.000,1.8249,338869
mimic_diverse,llm_control,deepseek_deepseek-v4-flash,833,123,0.257,0.274,0.331,0.361,0.6150,42175
mimic_diverse,llm_control,deepseek_deepseek-v4-pro,956,0,0.235,0.248,0.325,0.347,0.1637,2965
mimic_diverse,llm_control,google_gemini-3-flash-preview-20251217,956,0,0.302,0.321,0.373,0.401,0.6503,3401
mimic_diverse,llm_control,openai_gpt-5,944,12,0.311,0.340,0.396,0.431,2.3783,4780
mimic_diverse,maidxo,deepseek_deepseek-v4-pro,9,81,0.000,0.000,0.000,0.000,0.0127,370056
mimic_diverse,maidxo,google_gemini-3-flash-preview-20251217,75,25,0.107,0.107,0.107,0.107,0.2642,218518
mimic_diverse,mdagents,deepseek_deepseek-v4-flash,942,14,0.232,0.245,0.335,0.359,0.0588,55154
mimic_diverse,mdagents,deepseek_deepseek-v4-pro,956,0,0.212,0.224,0.313,0.333,0.3521,13947
mimic_diverse,mdagents,google_gemini-3-flash-preview-20251217,956,0,0.363,0.383,0.419,0.439,0.8291,5759
mimic_diverse,mdagents,openai_gpt-5,956,0,0.286,0.308,0.380,0.411,2.4648,7014
mimic_diverse,medagents,deepseek_deepseek-v4-flash,783,173,0.181,0.193,0.257,0.277,0.2947,106967
mimic_diverse,medagents,deepseek_deepseek-v4-pro,956,0,0.173,0.184,0.235,0.266,1.6561,25795
mimic_diverse,medagents,google_gemini-3-flash-preview-20251217,956,0,0.324,0.346,0.392,0.423,4.0719,61419
mimic_diverse,medagents,openai_gpt-5,956,0,0.309,0.324,0.389,0.418,11.4087,160350
phenopacket_store,agentclinic,deepseek_deepseek-v4-flash,1925,30,0.131,0.137,0.278,0.289,0.4163,111285
phenopacket_store,agentclinic,deepseek_deepseek-v4-pro,2000,0,0.172,0.185,0.320,0.334,1.5824,37209
phenopacket_store,agentclinic,google_gemini-3-flash-preview-20251217,1995,5,0.204,0.215,0.330,0.346,4.8637,61156
phenopacket_store,agentclinic,openai_gpt-5,2000,0,0.120,0.130,0.301,0.317,17.2755,48348
phenopacket_store,deeprare,deepseek_deepseek-v4-flash,494,6,0.223,0.223,0.298,0.298,0.2928,295236
phenopacket_store,deeprare,deepseek_deepseek-v4-pro,89,22,0.247,0.247,0.326,0.326,0.2818,623172
phenopacket_store,deeprare,google_gemini-3-flash-preview-20251217,609,1,0.281,0.281,0.365,0.365,8.5050,229928
phenopacket_store,deeprare,openai_gpt-5,96,4,0.219,0.219,0.240,0.240,4.8321,227789
phenopacket_store,lirical,lirical-2.4.0,2000,0,0.468,0.468,0.624,0.624,0.0000,5369
phenopacket_store,llm_control,deepseek_deepseek-v4-flash,1998,2,0.251,0.263,0.333,0.350,0.4932,19291
phenopacket_store,llm_control,deepseek_deepseek-v4-pro,1999,1,0.261,0.274,0.358,0.372,0.5828,5581
phenopacket_store,llm_control,google_gemini-3-flash-preview-20251217,2000,0,0.277,0.293,0.377,0.402,1.7846,3236
phenopacket_store,llm_control,openai_gpt-5,1988,12,0.244,0.255,0.328,0.343,6.5186,6445
phenopacket_store,maidxo,deepseek_deepseek-v4-flash,15,63,0.000,0.000,0.000,0.000,0.0000,438364
phenopacket_store,maidxo,deepseek_deepseek-v4-pro,11,60,0.000,0.000,0.000,0.000,0.0105,461299
phenopacket_store,maidxo,google_gemini-3-flash-preview-20251217,81,19,0.025,0.025,0.025,0.025,0.3151,238640
phenopacket_store,mdagents,deepseek_deepseek-v4-flash,1983,17,0.241,0.250,0.292,0.307,0.1323,30471
phenopacket_store,mdagents,deepseek_deepseek-v4-pro,2000,0,0.254,0.267,0.346,0.363,0.8589,15437
phenopacket_store,mdagents,google_gemini-3-flash-preview-20251217,2000,0,0.264,0.279,0.380,0.402,1.9499,5642
phenopacket_store,mdagents,openai_gpt-5,2000,0,0.232,0.243,0.327,0.347,6.4820,8497
phenopacket_store,medagents,deepseek_deepseek-v4-flash,1942,58,0.243,0.255,0.339,0.358,1.0987,57418
phenopacket_store,medagents,deepseek_deepseek-v4-pro,2000,0,0.270,0.280,0.358,0.374,4.5428,55413
phenopacket_store,medagents,google_gemini-3-flash-preview-20251217,1998,2,0.282,0.296,0.384,0.402,9.8733,20677
phenopacket_store,medagents,openai_gpt-5,2000,0,0.265,0.276,0.346,0.366,29.4572,24046
phenopacket_store,vc_rdagent,vc_rdagent-offline-v1,663,0,0.437,0.437,0.572,0.572,0.0000,79065
rarearena_rds,agentclinic,deepseek_deepseek-v4-flash,1764,217,0.095,0.111,0.262,0.283,0.4200,87022
rarearena_rds,agentclinic,deepseek_deepseek-v4-pro,2000,0,0.107,0.117,0.289,0.311,1.7625,44738
rarearena_rds,agentclinic,google_gemini-3-flash-preview-20251217,1974,26,0.123,0.135,0.262,0.277,5.2945,52682
rarearena_rds,agentclinic,openai_gpt-5,2000,0,0.087,0.105,0.305,0.337,16.8582,41361
rarearena_rds,deeprare,deepseek_deepseek-v4-flash,479,21,0.000,0.000,0.000,0.000,0.3632,309374
