dataset,agent,backbone,raw_rows,unique_cases,dup_rows,valid_ok,invalid,in_canonical_frame,capped
phenopacket_store,agentclinic,deepseek_deepseek-v4-flash,1975,1955,20,1925,30,1955,True
phenopacket_store,agentclinic,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
phenopacket_store,agentclinic,google_gemini-3-flash-preview-20251217,2005,2000,5,1995,5,2000,True
phenopacket_store,agentclinic,openai_gpt-5,2000,2000,0,2000,0,2000,True
phenopacket_store,deeprare,deepseek_deepseek-v4-flash,501,500,1,493,7,500,True
phenopacket_store,deeprare,deepseek_deepseek-v4-pro,128,111,17,96,15,111,True
phenopacket_store,deeprare,google_gemini-3-flash-preview-20251217,617,610,7,607,3,610,True
phenopacket_store,deeprare,openai_gpt-5,100,100,0,92,8,100,True
phenopacket_store,lirical,lirical-2.4.0,2946,2946,0,2946,0,2000,True
phenopacket_store,llm_control,deepseek_deepseek-v4-flash,2131,2000,131,1998,2,2000,True
phenopacket_store,llm_control,deepseek_deepseek-v4-pro,2000,2000,0,1999,1,2000,True
phenopacket_store,llm_control,google_gemini-3-flash-preview-20251217,4590,4590,0,4589,1,2000,True
phenopacket_store,llm_control,openai_gpt-5,2003,2000,3,1988,12,2000,True
phenopacket_store,maidxo,deepseek_deepseek-v4-flash,78,78,0,15,63,78,True
phenopacket_store,maidxo,deepseek_deepseek-v4-pro,82,71,11,65,6,71,True
phenopacket_store,maidxo,google_gemini-3-flash-preview-20251217,100,100,0,81,19,100,True
phenopacket_store,maidxo,openai_gpt-5,150,150,0,150,0,150,True
phenopacket_store,mdagents,deepseek_deepseek-v4-flash,2024,2000,24,1983,17,2000,True
phenopacket_store,mdagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
phenopacket_store,mdagents,google_gemini-3-flash-preview-20251217,3001,3000,1,3000,0,2000,True
phenopacket_store,mdagents,openai_gpt-5,2001,2000,1,2000,0,2000,True
phenopacket_store,medagents,deepseek_deepseek-v4-flash,2082,2000,82,1942,58,2000,True
phenopacket_store,medagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
phenopacket_store,medagents,google_gemini-3-flash-preview-20251217,2293,2293,0,2291,2,2000,True
phenopacket_store,medagents,openai_gpt-5,2000,2000,0,2000,0,2000,True
phenopacket_store,vc_rdagent,vc_rdagent-offline-v1,663,663,0,663,0,663,True
pmc_oa_holdout,agentclinic,deepseek_deepseek-v4-flash,227,198,29,195,3,198,False
pmc_oa_holdout,agentclinic,deepseek_deepseek-v4-pro,198,198,0,198,0,198,False
pmc_oa_holdout,agentclinic,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,False
pmc_oa_holdout,agentclinic,openai_gpt-5,198,198,0,198,0,198,False
pmc_oa_holdout,deeprare,deepseek_deepseek-v4-flash,198,198,0,196,2,198,False
pmc_oa_holdout,deeprare,deepseek_deepseek-v4-pro,198,198,0,193,5,198,False
pmc_oa_holdout,deeprare,google_gemini-3-flash-preview-20251217,198,198,0,194,4,198,False
pmc_oa_holdout,deeprare,openai_gpt-5,198,198,0,195,3,198,False
pmc_oa_holdout,llm_control,deepseek_deepseek-v4-flash,198,198,0,184,14,198,False
pmc_oa_holdout,llm_control,deepseek_deepseek-v4-pro,198,198,0,198,0,198,False
pmc_oa_holdout,llm_control,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,False
pmc_oa_holdout,llm_control,openai_gpt-5,198,198,0,193,5,198,False
pmc_oa_holdout,maidxo,deepseek_deepseek-v4-flash,198,198,0,110,88,198,False
pmc_oa_holdout,maidxo,deepseek_deepseek-v4-pro,198,198,0,120,78,198,False
pmc_oa_holdout,maidxo,google_gemini-3-flash-preview-20251217,198,198,0,91,107,198,False
pmc_oa_holdout,maidxo,openai_gpt-5,198,198,0,80,118,198,False
pmc_oa_holdout,mdagents,deepseek_deepseek-v4-flash,198,198,0,198,0,198,False
pmc_oa_holdout,mdagents,deepseek_deepseek-v4-pro,198,198,0,198,0,198,False
pmc_oa_holdout,mdagents,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,False
pmc_oa_holdout,mdagents,openai_gpt-5,198,198,0,198,0,198,False
pmc_oa_holdout,medagents,deepseek_deepseek-v4-flash,198,198,0,137,61,198,False
pmc_oa_holdout,medagents,deepseek_deepseek-v4-pro,198,198,0,198,0,198,False
pmc_oa_holdout,medagents,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,False
pmc_oa_holdout,medagents,openai_gpt-5,198,198,0,198,0,198,False
pmc_precutoff,agentclinic,google_gemini-3-flash-preview-20251217,220,220,0,220,0,220,False
pmc_precutoff,llm_control,google_gemini-3-flash-preview-20251217,220,220,0,220,0,220,False
pmc_precutoff,mdagents,google_gemini-3-flash-preview-20251217,220,220,0,219,1,220,False
pmc_precutoff,medagents,google_gemini-3-flash-preview-20251217,220,220,0,220,0,220,False
rarearena_rds,agentclinic,deepseek_deepseek-v4-flash,2003,1981,22,1764,217,1981,True
rarearena_rds,agentclinic,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
rarearena_rds,agentclinic,google_gemini-3-flash-preview-20251217,2008,2000,8,1974,26,2000,True
rarearena_rds,agentclinic,openai_gpt-5,2000,2000,0,2000,0,2000,True
rarearena_rds,deeprare,deepseek_deepseek-v4-flash,501,500,1,454,46,500,True
rarearena_rds,deeprare,deepseek_deepseek-v4-pro,62,54,8,36,18,54,True
rarearena_rds,deeprare,google_gemini-3-flash-preview-20251217,500,500,0,500,0,500,True
rarearena_rds,deeprare,openai_gpt-5,100,100,0,42,58,100,True
rarearena_rds,llm_control,deepseek_deepseek-v4-flash,2073,2000,73,1976,24,2000,True
rarearena_rds,llm_control,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
rarearena_rds,llm_control,google_gemini-3-flash-preview-20251217,2000,2000,0,2000,0,2000,True
rarearena_rds,llm_control,openai_gpt-5,2015,2000,15,1974,26,2000,True
rarearena_rds,maidxo,deepseek_deepseek-v4-flash,150,150,0,150,0,150,True
rarearena_rds,maidxo,deepseek_deepseek-v4-pro,62,59,3,54,5,59,True
rarearena_rds,maidxo,google_gemini-3-flash-preview-20251217,100,100,0,88,12,100,True
rarearena_rds,maidxo,openai_gpt-5,150,150,0,149,1,150,True
rarearena_rds,mdagents,deepseek_deepseek-v4-flash,2009,2000,9,1993,7,2000,True
rarearena_rds,mdagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,True
rarearena_rds,mdagents,google_gemini-3-flash-preview-20251217,2000,2000,0,2000,0,2000,True
rarearena_rds,mdagents,openai_gpt-5,2000,2000,0,2000,0,2000,True
rarearena_rds,medagents,deepseek_deepseek-v4-flash,2319,2000,319,1292,708,2000,True
