artifact_path,artifact_type,data_version,system,backbone,capability,n_cases,status,notes
data/mimic_iv_rd_slice/cases_filtered_diverse.jsonl,cohort_case_manifest,MIMIC-IV-3.1,NA,NA,P2_phenotype_ddx,956,ABSENT_ON_DISK,"The canonical n=956/239-disease slice referenced by every script and worklog; not present on disk (data/ is git-ignored and MIMIC never committed). Cannot verify 956 count from a frozen artifact."
data/mimic_iv_rd_slice/cases.jsonl,cohort_raw_slice,MIMIC-IV-3.1,NA,NA,P2_phenotype_ddx,,ABSENT_ON_DISK,"Raw v1 ICD-derived slice (~213 MB per round1_worklog); absent."
data/mimic-iv-3.1/,raw_source_data,MIMIC-IV-3.1,NA,NA,NA,,ABSENT_ON_DISK,"Credentialed PhysioNet source (~9.9GB hosp+icu per round1_worklog). Absent; git-ignored; DUA-restricted, cannot be redistributed anyway."
data/round2/phase4a/predictions_mimic_diverse_*.jsonl,prediction_receipts,MIMIC-IV-3.1,all-8-systems,all-4-backbones,P2_phenotype_ddx,0,ABSENT_ON_DISK,"NO MIMIC prediction receipts exist under phase4a. All other datasets have receipts; MIMIC has none. Nothing recomputable."
harness/ingest/mimic_iv_filter.py,cohort_filter_script,MIMIC-IV-3.1,NA,NA,P2_phenotype_ddx,,PRESENT_SCRIPT_ONLY,"Filter logic: drop 'NON RARE IN EUROPE' prefix, optional Exact-only relation, optional cap-per-disease. Diverse slice = drop_non_rare + only_exact + cap 5/disease. Reproduces 956 ONLY if raw cases.jsonl restored; not runnable now."
harness/ingest/mimic_iv.py,cohort_ingest_script,MIMIC-IV-3.1,NA,NA,P2_phenotype_ddx,,PRESENT_SCRIPT_ONLY,"ICD-10 -> Orphadata cross-ref ingest. Present but needs raw MIMIC (absent)."
scripts/mimic_rd_detection_pilot.py,pilot_eval_script,MIMIC-IV-3.1,NA,NA,rd_detection_reframe,,PRESENT_SCRIPT_ONLY,"Reframed 'identify the rare disease from comorbidity list' pilot (2026-05-19). Reads absent slice; no receipts on disk. Underlies the §7 pilot 0.56 number, which is unverifiable."
data/round2/phase4a_receipts.csv,legacy_aggregate_csv,MIMIC-IV-3.1,22 mimic cells,4 backbones,P2_phenotype_ddx,22,PRESENT_UNRECONCILABLE,"22 mimic_diverse aggregate rows (R@1/R@5, cost). Numbers cannot be reconciled to any receipts (none exist) or to gold (stripped). Disagrees with leaderboard/new-paper on several cells."
data/round2/phase4a_summary.json,legacy_aggregate_json,MIMIC-IV-3.1,22 mimic cells,4 backbones,P2_phenotype_ddx,22,PRESENT_UNRECONCILABLE,"Legacy per-cell ok/err/hit counts. Not derivable from frozen artifacts."
leaderboard/phase4a_summary.json,legacy_aggregate_json,MIMIC-IV-3.1,22 mimic cells,4 backbones,P2_phenotype_ddx,22,PRESENT_UNRECONCILABLE,"Leaderboard-format mimic aggregates. Disagrees with round2/phase4a_receipts.csv for same cells (e.g. llm_control/DS-Pro: here ok=395 vs there 956)."
data/round2/phase4a_REPORT.md,legacy_report_table,MIMIC-IV-3.1,mimic section,4 backbones,P2_phenotype_ddx,,PRESENT_UNRECONCILABLE,"Rendered mimic_diverse table with bracketed [ok/attempted]. Printed numbers, not evidence."
new_version_paper/headline_results.csv,legacy_aggregate_csv,MIMIC-IV-3.1,22 mimic cells,4 backbones,P2_phenotype_ddx,22,PRESENT_UNRECONCILABLE,"Paper-facing headline CSV in the OTHER checkout (/home/hmmm). Disagrees with round2 receipts.csv on n and R@1 for several cells."
audit_frozen/frozen_main_manifest.csv,frozen_audit_manifest,mixed,NA,NA,P2_phenotype_ddx,0,CONFIRMED_NO_MIMIC,"83 rows across phenopacket_store/rarearena_rds/rarebench/pmc_oa_holdout/pmc_precutoff. Zero MIMIC rows. MIMIC excluded from the frozen recomputed matrix."
audit_frozen/recompute_engine.py,recompute_engine,mixed,NA,NA,P2_phenotype_ddx,0,CONFIRMED_MIMIC_STRIPPED,"load_gold() hardcodes mimic_diverse n_gold_cases=0, note 'gold stripped from slim recompute commit; not recomputable'. mimic_diverse in DATASETS tuple but no receipts glob-match."
paper_build/acl/tex/abstract.tex,paper_text,MIMIC-IV-3.1,NA,NA,NA,956,CLAIM_UNVERIFIED,"Abstract states 'MIMIC-IV rare-disease slice n=956'. Number unverifiable from frozen evidence."
paper_build/acl/tex/4_benchmark_design.tex,paper_text,MIMIC-IV-3.1,NA,NA,P2_phenotype_ddx,956,CLAIM_UNVERIFIED,"L2 'Real EHR Noise; 956 cases'; claims 2,173 ICD cross-refs and 88,664 NON-RARE filtered. Framing as 'EHR noise / free-text' contradicted by worklog: no discharge notes, only synthetic vignettes from ICD titles."
paper_build/acl/tex/6_main_results.tex,paper_text,MIMIC-IV-3.1,mimic column,4 backbones,P2_phenotype_ddx,956,CLAIM_UNVERIFIED,"MIMIC appears as a full column [956] in the MAIN results heatmap. Not backed by any frozen receipt or the frozen manifest."
paper_build/acl/tex/7_2_7_3_7_4_analysis.tex,paper_text,MIMIC-IV-3.1,NA,NA,rd_detection_reframe,,CLAIM_UNVERIFIED,"Reports MIMIC 0.39 (DDx) and pilot reframe 0.56. Both unverifiable; pilot script present but no receipts."
agents/rdma/results/mimic3_rd_mining/,rdma_p1_text_mining,MIMIC-III,rdma,various,P1_phenotype_extraction,,UNRELATED_DIFFERENT_DATASET,"MIMIC-III (not IV) rare-disease text-mining artifacts for the RDMA agent's P1 phenotype extraction. Separate from the n=956 MIMIC-IV DDx slice; do not conflate."
