! LIRICAL TSV Output (2.4.0)
! Sample: subject
! Observed HPO terms:
!  Aortic regurgitation <a href="https://hpo.jax.org/app/browse/term/HP:0001659">HP:0001659</a>
!  Arachnodactyly <a href="https://hpo.jax.org/app/browse/term/HP:0001166">HP:0001166</a>
!  Bifid uvula <a href="https://hpo.jax.org/app/browse/term/HP:0000193">HP:0000193</a>
!  Camptodactyly <a href="https://hpo.jax.org/app/browse/term/HP:0012385">HP:0012385</a>
!  Dilatation of the sinus of Valsalva <a href="https://hpo.jax.org/app/browse/term/HP:0011645">HP:0011645</a>
!  Malar flattening <a href="https://hpo.jax.org/app/browse/term/HP:0000272">HP:0000272</a>
!  Micrognathia <a href="https://hpo.jax.org/app/browse/term/HP:0000347">HP:0000347</a>
!  Patent foramen ovale <a href="https://hpo.jax.org/app/browse/term/HP:0001655">HP:0001655</a>
!  Pectus carinatum <a href="https://hpo.jax.org/app/browse/term/HP:0000768">HP:0000768</a>
!  Pulmonary artery dilatation <a href="https://hpo.jax.org/app/browse/term/HP:0004927">HP:0004927</a>
!  Scoliosis <a href="https://hpo.jax.org/app/browse/term/HP:0002650">HP:0002650</a>
!  Tricuspid valve prolapse <a href="https://hpo.jax.org/app/browse/term/HP:0001704">HP:0001704</a>
rank	diseaseName	diseaseCurie	pretestprob	posttestprob	compositeLR
1	Marfan syndrome	OMIM:154700	1/8661	100.00000%	17.466
2	Loeys-Dietz syndrome 2	OMIM:610168	1/8661	100.00000%	15.571
3	Loeys-Dietz syndrome 1	OMIM:609192	1/8661	100.00000%	11.768
4	VISS syndrome	OMIM:619472	1/8661	99.99965%	9.398
5	Turnpenny-Fry syndrome	OMIM:618371	1/8661	99.99960%	9.339
6	Loeys-Dietz syndrome 3	OMIM:613795	1/8661	99.99843%	8.741
7	Osteopathia striata with cranial sclerosis	OMIM:300373	1/8661	71.38%	4.334
8	Arterial tortuosity syndrome	OMIM:208050	1/8661	63.33%	4.175
9	Meester-Loeys syndrome	OMIM:300989	1/8661	52.81%	3.986
10	Loeys-Dietz syndrome 5	OMIM:615582	1/8661	37.78%	3.721
11	Contractural arachnodactyly, congenital	OMIM:121050	1/8661	29.81%	3.566
12	Ehlers-Danlos syndrome, musculocontractural type 1	OMIM:601776	1/8661	20.32%	3.344
13	Cutis laxa, autosomal recessive, type IIC	OMIM:617402	1/8661	15.10%	3.187
14	Pallister-Killian syndrome	OMIM:601803	1/8661	0.71%	1.791
15	Recombinant chromosome 8 syndrome	OMIM:179613	1/8661	0.66%	1.762
16	Carpenter syndrome 1	OMIM:201000	1/8661	0.45%	1.596
17	Chromosome 18q deletion syndrome	OMIM:601808	1/8661	0.36%	1.494
18	Cutis laxa, autosomal recessive, type IB	OMIM:614437	1/8661	0.15%	1.122
19	Otopalatodigital syndrome, type II	OMIM:304120	1/8661	0.11%	0.972
20	Marfanoid habitus with situs inversus	OMIM:609008	1/8661	0.10%	0.949
21	Charge syndrome	OMIM:214800	1/8661	0.08%	0.86
22	Multiple congenital anomalies-hypotonia-seizures syndrome 2	OMIM:300868	1/8661	0.07%	0.774
23	Noonan syndrome 2	OMIM:605275	1/8661	0.07%	0.755
24	Myhre syndrome	OMIM:139210	1/8661	0.06%	0.731
25	Hunter-Macdonald syndrome	OMIM:611962	1/8661	0.02%	0.245
26	Shprintzen-Goldberg craniosynostosis syndrome	OMIM:182212	1/8661	0.01%	0.111
27	Holt-Oram syndrome	OMIM:142900	1/8661	0.01%	0.054
28	Chromosome 1p36 deletion syndrome	OMIM:607872	1/8661	0.01%	-0.017
29	Craniofaciocardiohepatic syndrome	OMIM:621192	1/8661	0.01%	-0.234
30	Hennekam lymphangiectasia-lymphedema syndrome	OMIM:235510	1/8661	0.00%	-0.456
31	Neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity	OMIM:620371	1/8661	0.00%	-0.482
32	Catel-Manzke syndrome	OMIM:616145	1/8661	0.00%	-0.666
33	Takenouchi-Kosaki syndrome	OMIM:616737	1/8661	0.00%	-1
34	Lujan-Fryns syndrome	OMIM:309520	1/8661	0.00%	-1.049
35	Acrofacial dysostosis, Cincinnati type	OMIM:616462	1/8661	0.00%	-1.128
36	Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects	OMIM:245600	1/8661	0.00%	-1.206
37	Acrofacial dysostosis 1, Nager type	OMIM:154400	1/8661	0.00%	-1.321
38	Rubinstein-Taybi syndrome 1	OMIM:180849	1/8661	0.00%	-1.374
39	Spondyloepimetaphyseal dysplasia, Guo-Campeau type	OMIM:620663	1/8661	0.00%	-1.415
40	Guillouet-Gordon syndrome	OMIM:621220	1/8661	0.00%	-1.802
41	Loeys-Dietz syndrome 4	OMIM:614816	1/8661	0.00%	-1.858
42	Developmental delay with variable cardiac and renal congenital anomalies and dysmorphic facies	OMIM:621384	1/8661	0.00%	-1.903
43	Chromosome 9P deletion syndrome	OMIM:158170	1/8661	0.00%	-1.985
44	Larsen syndrome	OMIM:150250	1/8661	0.00%	-2.031
45	Chromosome 1q21.1 deletion syndrome, 1.35-mb	OMIM:612474	1/8661	0.00%	-2.096
46	Tayoun-Maawali syndrome	OMIM:621184	1/8661	0.00%	-2.109
47	Stickler syndrome, type I	OMIM:108300	1/8661	0.00%	-2.238
48	Van den Ende-Gupta syndrome	OMIM:600920	1/8661	0.00%	-2.336
49	Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures	OMIM:271640	1/8661	0.00%	-2.361
50	Noonan syndrome-like disorder with loose anagen hair 2	OMIM:617506	1/8661	0.00%	-2.441
51	Noonan syndrome 1	OMIM:163950	1/8661	0.00%	-2.476
52	Congenital heart defects and skeletal malformations syndrome	OMIM:617602	1/8661	0.00%	-2.64
53	Frontometaphyseal dysplasia 2	OMIM:617137	1/8661	0.00%	-2.682
54	Skeletal dysplasia, mild, with joint laxity and advanced bone age	OMIM:618870	1/8661	0.00%	-2.747
55	Kabuki Syndrome 1	OMIM:147920	1/8661	0.00%	-2.9
56	Robinow syndrome, autosomal recessive	OMIM:268310	1/8661	0.00%	-2.94
57	Marden-Walker syndrome	OMIM:248700	1/8661	0.00%	-2.993
58	Galloway-Mowat syndrome 3	OMIM:617729	1/8661	0.00%	-3.157
59	Costello syndrome	OMIM:218040	1/8661	0.00%	-3.218
60	Renpenning syndrome	OMIM:309500	1/8661	0.00%	-3.303
61	Frank-ter Haar syndrome	OMIM:249420	1/8661	0.00%	-3.359
62	Robinow syndrome, autosomal dominant 3	OMIM:616894	1/8661	0.00%	-3.372
63	Intellectual developmental disorder, X-linked, syndromic, Hackman-Di Donato type	OMIM:301039	1/8661	0.00%	-3.729
64	Ogden syndrome	OMIM:300855	1/8661	0.00%	-3.844
65	Williams-Beuren syndrome	OMIM:194050	1/8661	0.00%	-3.899
66	Hallermann-Streiff syndrome	OMIM:234100	1/8661	0.00%	-3.905
67	Stolerman neurodevelopmental syndrome	OMIM:618505	1/8661	0.00%	-3.92
68	Ehlers-Danlos syndrome, spondylodysplastic type, 1	OMIM:130070	1/8661	0.00%	-3.951
69	Osteogenesis imperfecta, type XII	OMIM:613849	1/8661	0.00%	-3.995
70	q26 overgrowth syndrome	DECIPHER:81	1/8661	0.00%	-4.043
71	Schwartz-jampel syndrome, type 1	OMIM:255800	1/8661	0.00%	-4.058
72	Simpson-Golabi-Behmel syndrome, type 1	OMIM:312870	1/8661	0.00%	-4.065
73	Microphthalmia, syndromic 2	OMIM:300166	1/8661	0.00%	-4.127
74	Stuve-Wiedemann syndrome	OMIM:601559	1/8661	0.00%	-4.164
75	Cornelia de Lange syndrome 6	OMIM:620568	1/8661	0.00%	-4.172
