inclusion_set,backbone,cells,attempted_predictions,successful_predictions,top1_correct_variant,api_calls,total_cost_usd,cost_per_attempt,cost_per_success
MAIN_MATRIX_frozen,deepseek_deepseek-v4-flash,18,22557,20903,3716,68603,7.088,0.000314,0.001907
MAIN_MATRIX_frozen,deepseek_deepseek-v4-pro,18,21589,21439,3744,77648,21.7452,0.001007,0.005808
MAIN_MATRIX_frozen,google_gemini-3-flash-preview-,18,23783,23613,4891,76859,80.8367,0.003399,0.016528
MAIN_MATRIX_frozen,lirical-2.4.0,2,3122,3122,1200,0,0.0,0.0,0.0
MAIN_MATRIX_frozen,openai_gpt-5,18,21551,21458,3562,76988,177.4774,0.008235,0.049825
MAIN_MATRIX_frozen,vc_rdagent-offline-v1,2,1785,1785,599,0,0.0,0.0,0.0
MAIN_MATRIX_frozen,TOTAL,76,94387,92320,17712,300098,287.15,0.003042,0.016212

# cost-per-attempt multiples (relative to cheapest backbone)
MULTIPLE,lirical-2.4.0,,,,,,0.0,0x (free classical),
MULTIPLE,vc_rdagent-offline-v1,,,,,,0.0,0x (free classical),
MULTIPLE,deepseek_deepseek-v4-flash,,,,,,0.000314,1.0x,
MULTIPLE,deepseek_deepseek-v4-pro,,,,,,0.001007,3.2x,
MULTIPLE,google_gemini-3-flash-preview-,,,,,,0.003399,10.8x,
MULTIPLE,openai_gpt-5,,,,,,0.008235,26.2x,
