dataset,agent,backbone,raw_rows,unique,dup_rows,valid_ok,invalid,in_frame,valid_pct,status
phenopacket_store,agentclinic,deepseek_deepseek-v4-flash,1955,1955,0,1925,30,1955,98.5,ready
phenopacket_store,agentclinic,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
phenopacket_store,agentclinic,google_gemini-3-flash-preview-20251217,2000,2000,0,1995,5,2000,99.8,ready
phenopacket_store,agentclinic,openai_gpt-5,2000,2000,0,2000,0,2000,100.0,ready
phenopacket_store,deeprare,deepseek_deepseek-v4-flash,500,500,0,493,7,500,98.6,ready
phenopacket_store,deeprare,deepseek_deepseek-v4-pro,200,200,0,194,6,200,97.0,ready
phenopacket_store,deeprare,google_gemini-3-flash-preview-20251217,610,610,0,607,3,610,99.5,ready
phenopacket_store,deeprare,openai_gpt-5,200,200,0,195,5,200,97.5,ready
phenopacket_store,lirical,lirical-2.4.0,2946,2946,0,2946,0,2000,100.0,ready
phenopacket_store,llm_control,deepseek_deepseek-v4-flash,2000,2000,0,1998,2,2000,99.9,ready
phenopacket_store,llm_control,deepseek_deepseek-v4-pro,2000,2000,0,1999,1,2000,100.0,ready
phenopacket_store,llm_control,google_gemini-3-flash-preview-20251217,4590,4590,0,4589,1,2000,100.0,ready
phenopacket_store,llm_control,openai_gpt-5,2000,2000,0,1988,12,2000,99.4,ready
phenopacket_store,maidxo,deepseek_deepseek-v4-flash,200,200,0,199,1,200,99.5,ready
phenopacket_store,maidxo,deepseek_deepseek-v4-pro,200,200,0,180,20,200,90.0,ready
phenopacket_store,maidxo,google_gemini-3-flash-preview-20251217,100,100,0,81,19,100,81.0,"rerun_needed: gemini bad-batch, at 100/200"
phenopacket_store,maidxo,openai_gpt-5,200,200,0,200,0,200,100.0,ready
phenopacket_store,mdagents,deepseek_deepseek-v4-flash,2000,2000,0,1983,17,2000,99.2,ready
phenopacket_store,mdagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
phenopacket_store,mdagents,google_gemini-3-flash-preview-20251217,3000,3000,0,3000,0,2000,100.0,ready
phenopacket_store,mdagents,openai_gpt-5,2000,2000,0,2000,0,2000,100.0,ready
phenopacket_store,medagents,deepseek_deepseek-v4-flash,2000,2000,0,1942,58,2000,97.1,ready
phenopacket_store,medagents,deepseek_deepseek-v4-pro,2000,2000,0,2000,0,2000,100.0,ready
phenopacket_store,medagents,google_gemini-3-flash-preview-20251217,2293,2293,0,2291,2,2000,99.9,ready
phenopacket_store,medagents,openai_gpt-5,2000,2000,0,2000,0,2000,100.0,ready
phenopacket_store,vc_rdagent,vc_rdagent-offline-v1,663,663,0,663,0,663,100.0,ready
pmc_oa_holdout,agentclinic,deepseek_deepseek-v4-flash,198,198,0,195,3,198,98.5,ready
pmc_oa_holdout,agentclinic,deepseek_deepseek-v4-pro,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,agentclinic,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,agentclinic,openai_gpt-5,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,deeprare,deepseek_deepseek-v4-flash,198,198,0,196,2,198,99.0,ready
pmc_oa_holdout,deeprare,deepseek_deepseek-v4-pro,198,198,0,193,5,198,97.5,ready
pmc_oa_holdout,deeprare,google_gemini-3-flash-preview-20251217,198,198,0,194,4,198,98.0,ready
pmc_oa_holdout,deeprare,openai_gpt-5,198,198,0,195,3,198,98.5,ready
pmc_oa_holdout,llm_control,deepseek_deepseek-v4-flash,198,198,0,184,14,198,92.9,ready
pmc_oa_holdout,llm_control,deepseek_deepseek-v4-pro,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,llm_control,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,llm_control,openai_gpt-5,198,198,0,193,5,198,97.5,ready
pmc_oa_holdout,maidxo,deepseek_deepseek-v4-flash,198,198,0,110,88,198,55.6,ready
pmc_oa_holdout,maidxo,deepseek_deepseek-v4-pro,198,198,0,120,78,198,60.6,ready
pmc_oa_holdout,maidxo,google_gemini-3-flash-preview-20251217,198,198,0,91,107,198,46.0,ready
pmc_oa_holdout,maidxo,openai_gpt-5,198,198,0,80,118,198,40.4,ready
pmc_oa_holdout,mdagents,deepseek_deepseek-v4-flash,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,mdagents,deepseek_deepseek-v4-pro,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,mdagents,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,mdagents,openai_gpt-5,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,medagents,deepseek_deepseek-v4-flash,198,198,0,137,61,198,69.2,ready
pmc_oa_holdout,medagents,deepseek_deepseek-v4-pro,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,medagents,google_gemini-3-flash-preview-20251217,198,198,0,198,0,198,100.0,ready
pmc_oa_holdout,medagents,openai_gpt-5,198,198,0,198,0,198,100.0,ready
pmc_precutoff,agentclinic,google_gemini-3-flash-preview-20251217,220,220,0,220,0,220,100.0,ready
